gcr_number,GCR_NAME,admin_area,BLOCK_NAME,NAME,GCR_STATUS,GRID_REF,LATITUDE,LONGITUDE,EASTING,NORTHING,GCR_DATE,REVIEW_DATE,AGENCY,GCR_STATEMENT,SYSTEM,ESCC,SSSI_NAME
11,Glas Eilean to Mingary Pier,"Lochaber, Skye and Lochalsh and Argyll and the Islands",Tertiary Igneous,Ardnamurchan,Notified,NM493626,56.69,-6.09,149300,762600,01-Oct-79,14-Jan-85,SNH,"This site provides a representative section through the cone-sheet swarms of Ardnamurchan. Such intrusions reflect the tectonic processes involved in the emplacement of plutonic centres and have led to a better understanding of the stress fields generated during intrusive activity. Recently interest has been focused on these intrusions and, whilst some authors have suggested modifications in detail to the classical theory for their origin, others have proposed radical new alternatives. The issues are presently far from resolved and will no doubt be the subject of much further research and debate. The small tidal island of Glas Eilean and the foreshore to the north- east expose a small linear vent filled with agglomerate in which a variety of blocks derived from the country rocks and adjacent intrusions is set in a tuffisite matrix.",Tertiary,"EC,EO",ARDNAMURCHAN
12,Glas Bheinn to Glebe Hill,"Lochaber, Skye and Lochalsh and Argyll and the Islands",Tertiary Igneous,Ardnamurchan,Notified,NM479644,56.70,-6.12,147900,764400,01-Oct-79,12-Sep-83,SNH,This site is critical for the interpretation of the sequence of intrusive events in the Ardnamurchan Complex as it includes exposures of igneous rocks assigned to each of the three centres which show clear time-relationships to one another. The site also includes some important exposures of contacts between the intrusions and the country rock. The Hypersthene-gabbro of Centre 2 contains xenoliths which have been recrystallised to produce unusual high temperature mineral assemblages including sapphire as one component.,Tertiary,EO,ARDNAMURCHAN
13,Beinn na Seilg to Beinn nan Ord,"Lochaber, Skye and Lochalsh and Argyll and the Islands",Tertiary Igneous,Ardnamurchan,Notified,NM450627,56.69,-6.16,145000,762700,01-Oct-79,12-Sep-83,SNH,"This site has been selected to demonstrate the principal features of the intrusions belonging to Centre 2. The arcuate outcrop of the seven major intrusions led to their ready acceptance as ring dykes; the area was subsequently recognised as a classic demonstration of a ring dyke complex and gained international status as such. However, recent research has suggested that two or more of the intrusions may not be of ring dyke form. The Hypersthene-gabbro is a complex and unusual intrusion with well-documented gravity layering and cumulus textures deformed by pseudo-sedimentary slump structures and now appears to have originally had a boss-like form. The Granophyric Quartz-dolerite of Sgurr-nam Meann is a very complex mass which has been the subject of intensive research over many years although the details of its form and origin still remain to be resolved. Both of these intrusions show features unique in the Tertiary Igneous Province of Britain. The other major intrusions are also complex petrographically and their mutual relations are frequently confused by contradictory field evidence. The contact relationships between the igneous complex and the Jurassic country rocks are well-demonstrated and there are outstanding shore exposures of pale Lias limestones intruded by cone-sheets and dykes. The major intrusions have thermally altered the country rocks, early lavas and cone-sheets and incorporate numerous xenolithic blocks showing various degrees of thermal metamorphism.",Tertiary,"EO,EC",ARDNAMURCHAN
14,Ardnamurchan Point to Sanna,"Lochaber, Skye and Lochalsh and Argyll and the Islands",Tertiary Igneous,Ardnamurchan,Notified,NM418670,56.72,-6.22,141800,767000,01-Oct-79,12-Sep-83,SNH,"The Ardnamurchan Point to Sanna section provides not only what are probably the best, most complicated and most easily acessible examples of net-veining and igneous brecciation in the British Tertiary Igneous Province but also contains a number of intrusions whose relationships, very imperfectly understood at present, could, through further study, yield evidence of critical relevance to the validity of two of the three centres of intrusion, the keystone of the existing interpretation of the Ardnamurchan Complex. Many other features of petrological interest, for instance igneous layering and the occurrence of pyroxene-granulites, are excellently displayed.",Tertiary,EC,ARDNAMURCHAN
15,"Centre 3, Ardnamurchan","Lochaber, Skye and Lochalsh and Argyll and the Islands",Tertiary Igneous,Ardnamurchan,Notified,NM467702,56.75,-6.14,146700,770200,01-Oct-79,12-Sep-83,SNH,"The rocks assigned to Centre 3 of the Ardnamurchan Complex outcrop in a natural amphitheatre 7km from east to west and 6km from north to south, the topography accurately reflecting the concentric outcrops of the various intrusions. Despite an almost total absence of evidence relating to the dip of the junctions between one intrusion and another, the complex was originally interpreted as a nested series of ring dykes. In more recent years the postulated steep outward dip of the contacts has been widely challenged by an alternative view that the contacts dip gently inwards to produce a saucer or funnel-shaped intrusion. The problem at present has not been resolved although geophysical investigations have revealed that the maximum positive gravity anomaly found over Ardnamurchan is located over Centre 2 and not Centre 3. While this is admittedly inconclusive, it can hardly be said to support the hypothesis that Centre 3 consists of a nested complex of ring dykes some 3 kilometres in radius, each ring dyke having been formed by the subsidence of a central block of pre- existing, relatively dense igneous rock. Centre 3 is, therefore, of international importance both because of long acceptance as the most perfect example of a ring dyke complex and because of the doubts now being raised as to whether it is a ring dyke complex at all.",Tertiary,EO,ARDNAMURCHAN
16,"Aird na h-Iolaire, Mull","Lochaber, Skye and Lochalsh and Argyll and the Islands","Hettangian, Sinemurian and Pliensbachian",The Hebrides Basin,Notified,NM404287,56.38,-6.21,140400,728700,01-Oct-79,07-Jul-86,SNH,"Only two occurrences of basal Jurassic rocks are known in Scotland. The section here, developed in Blue Lias lithologies, is the only good section in the Hebridean province with such early Jurassic marine deposits. Like the underlying marine Rhaetic, the lowest Hettangian Lias seems to have only been deposited in the southern Hebrides, for at that time the northern areas of Skye, Applecross, etc were probably land. Aird na h-Iolaire is thus a key site in palaeogeographic reconstructions and for correlation with the classic Lias localities of southern England.",Jurassic,"FM,EC",ARDMEANACH
17,Bearraich,"Lochaber, Skye and Lochalsh and Argyll and the Islands",Tertiary Igneous,Isle of Mull,Notified,NM417274,56.37,-6.18,141700,727400,01-Oct-79,07-Jul-86,SNH,"The south-western part of the Ardmeanach peninsula shows a representative and relatively well-exposed, continuous section through the lower part of the Plateau Lava Group of Mull and Morvern where the rocks are unaffected by pneumatolysis. The earliest flows - the Staffa suite - are characteristically columnar olivine-poor tholeiites which were erupted subaerially, as indicated by their reddened scoriaceous tops, but in places flowed into bodies of standing water. Features demonstrated to advantage include lava tubes, flow units, scoria and laterites. Associated with these lavas are well-known, large tree-fossils, the most famous being Macculloch's Tree. Above the Staffa suite lies the Main suite, mainly mildly alkalic to transitional alkaline-tholeiitic olivine basalts with a few feldsparphyric flows. Between 25 and 30 flow terraces can be identified from the base of the suite to the summit of Bearraich (432m).",Tertiary,"FM,EO,EC",ARDMEANACH
18,Ardtun,"Lochaber, Skye and Lochalsh and Argyll and the Islands",Tertiary Igneous,Isle of Mull,Notified,NM378248,56.34,-6.24,137800,724800,01-Oct-79,12-May-83,SNH,Coastal cliffs and gullies north within the site provide exposures of the internationally famous inter-lava sediments in the Tertiary Igneous Province at a horizon near the base of the volcanic sequence of south-western Mull. Their discovery is of major significance as the sediments carry a rich terrestrial flora allowing the early lavas of Mull to be dated. The relationships of the sediments with the volcanic rocks provide evidence of value in reconstructing the palaeogeography of Mull and of north-western Britain during the Lower Tertiary.,Tertiary,"EC,EO",ARDTUN LEAF BEDS
19,Loch Sguabain,"Lochaber, Skye and Lochalsh and Argyll and the Islands",Tertiary Igneous,Isle of Mull,Notified,NM633305,56.41,-5.84,163300,730500,01-Oct-79,12-May-83,SNH,"The early intrusions on the Mull complex are centred on Glen More and here, early in the volcanic history, a caldera developed. Within this caldera volcanic activity was discontinuous; that caldera lakes formed during periods of quiescence is demonstrated by the occurrence of pillow lavas associated with thin bedded tuffs, an occurrence unique in the British Tertiary Central Complexes and of great importance in piecing together the overall picture of Tertiary volcanism. The north-western slopes of Beinn Fhada above Loch Sguabain expose a representative sequence through the lavas of the south-east caldera and contain several fine examples of flows exhibiting pillow- structures.",Tertiary,"FM,EW",LOCH SGUABAIN
20,Laggan Bay,"Lochaber, Skye and Lochalsh and Argyll and the Islands",Tertiary Igneous,Isle of Mull,Notified,NM451415,56.50,-6.14,145100,741500,01-Oct-79,12-May-83,SNH,"Coastal and inland exposures, at the head of Loch Tuath, show mugearitic flows intercalated with the lower suites of the Mull lava sequence. A nearby neck, now infilled by ash cut by an associated mugearitic vent intrusion, forms a probable source for the lavas. Similar plugs are lacking or rare in the other Hebridean lava fields. The site also provides exposures of an ash, often altered to a pinkish-grey bole, which overlies Staffa suite lavas and is covered by the mugearitic lavas.",Tertiary,"FM,EC,EO",LAGGANULVA WOOD
21,'S Airde Beinn,"Lochaber, Skye and Lochalsh and Argyll and the Islands",Tertiary Igneous,Isle of Mull,Notified,NM472540,56.61,-6.12,147200,754000,01-Oct-79,12-May-83,SNH,"The small but conspicuous rock-girt hill of S'Airde Bheinn is carved from a doleritic plug rising through flat-lying, trap-featured lavas of the Mull Plateau. Such plugs are of restricted occurrence in the Tertiary Igneous Province and are best developed in northern Mull. S'Airde Bheinn is taken as representative; it is not only the largest but also the best known having been investigated for over a century. The thermal effects of the intrusion on the adjacent lavas and their amygdales have been the subject of recent research, the results of which are of mineralogical significance.",Tertiary,"FM,EO",S`AIRDE BEINN
22,Carsaig Bay,"Lochaber, Skye and Lochalsh and Argyll and the Islands",Tertiary Igneous,Isle of Mull,Notified,NM533219,56.33,-5.99,153300,721900,01-Oct-79,07-Feb-86,SNH,"The coastal and cliff exposures around Carsaig Bay have multiple geological interest. They show, lying beneath the lava plateau, Tertiary sediments, including an unusually wide range of lithologies, resting on Cenomanian sandstone. At Rubh' a' Chromain a composite tholeiite-felsite sill is exposed and is well-known for the occurrence of numerous xenoliths, both cognate and accidental; the mineral assemblages produced by the thermal metamorphism and maringal reaction of the aluminous xenolithis are of special interest. The low island and surrounding reefs of Gamhnach Mhor are formed of an intrusion of aegerine-syenite cut by a tholeiite sheet carrying cognate xenoliths and belonging to the Scridain Group of sills.",Tertiary,"EC,EO",SOUTH MULL COAST
23,Loch Spelve to Auchnacraig,"Lochaber, Skye and Lochalsh and Argyll and the Islands",Tertiary Igneous,Isle of Mull,Notified,NM711297,56.40,-5.71,171100,729700,01-Oct-79,09-Apr-86,SNH,"The rocks exposed on the western shores of Loch Spelve and in the peninsula lying between its northern arm and the Firth of Lorne have multiple geological interest. Their principal significance lies in the traverse they provide through the set of circumferential folds around the early centre of the Mull Complex - by far the best developed in the British Tertiary Igneous Province. They also demonstrate a nationally unique sequence of Triassic strata, by far the thickest developed in the Hebrides, and provide sections of considerable importance through Liassic, Inferior Oolite, probable Great Estuarine and Cenomanian beds, unconformably succeeded by basal Tertiary sediments. The area lies across the course of the Great Glen Fault where it has been deflected by the Mull Complex; although largely obscured by the Tertiary lavas, its track through the foundations of Mull can be traced through the distribution of inliers of Moine rocks (to the north-west) and Dalradian rocks (to the south-east). Tertiary lavas form the majority of the igneous rocks present but part of the early Glas Bheinn Granophyre lies within the western margin.",Tertiary,"EC,EO",ARDURA - AUCHNACRAIG
24,Cruach Choireadail,"Lochaber, Skye and Lochalsh and Argyll and the Islands",Tertiary Igneous,Isle of Mull,Notified,NM595305,56.41,-5.90,159500,730500,01-Oct-79,12-May-83,SNH,"The site includes as its principal interest the internationally known section through the Glen More Ring Dyke, originally interpreted as a type example of the production of acidic rocks from a basic parent by crystal fractionation. This hypothesis has been hotly contested and the resultant controversy has yet to be resolved. Other interests include the Ishriff Ring Dyke, separated from the Glen More intrusion by a screen, gabbro plugs, agglomerates and lavas of the Central Group, some of which show pillow-structure.",Tertiary,EO,CRUACH CHOIREADAIL
25,Allt Molach - Beinn Chaisgidle,"Lochaber, Skye and Lochalsh and Argyll and the Islands",Tertiary Igneous,Isle of Mull,Notified,NM622313,56.41,-5.86,162200,731300,01-Oct-79,12-May-83,SNH,"Following the initial discovery of the Loch Ba type example, the Allt Molach section first indicated to the original proponents of the ring dyke concept the number and importance of these intrusions on Mull. The valley of the stream provides the type traverse across the first assemblage of intrusions to be identified as a ring dyke complex within which thirteen members originally were identified and thus possesses international significance in the development of petrology. Recent research has cast doubt on parts of the classic interpretation but the area still awaits comprehensive revision.",Tertiary,"EO,EW",ALLT MOLACH
26,Loch Ba to Ben More,"Lochaber, Skye and Lochalsh and Argyll and the Islands",Tertiary Igneous,Isle of Mull,Notified,NM529368,56.46,-6.01,152900,736800,01-Oct-79,18-Sep-86,SNH,"The ground lying between Loch Ba, Ben More and Loch na Keal has multiple petrological interest. It contains the fullest development of the Plateau Group lavas; representatives of the Central Group of lavas in varying states of metamorphism; intrusions, much cut by cone-sheets, belonging to the Glen More (first) and Ben Chaisgidle (second) Centres and a full sequence of intrusive rocks and structures associated with the (third) Loch Ba Centre. Internationally the area is best known for the role it has played in the development of igneous petrology. It provides the first, and still perhaps the most perfect, known example of a ring dyke, one of the few modes of occurrence of igneous rocks to have an internationally established type locality. The term has subsequently been misused and the conservation of the rock-mass for which the name was originally coined has, even for this reason alone, been rendered all the more necessary.",Tertiary,"EO,EC",BEN MORE - SCARISDALE
27,"Allt Leacach, Loch Aline","Lochaber, Skye and Lochalsh and Argyll and the Islands","Hettangian, Sinemurian and Pliensbachian",The Hebrides Basin,Notified,NM692454,56.54,-5.75,169200,745400,01-Oct-79,12-Sep-83,SNH,Recorded by Judd as one of the finest and most interesting sections of the Lias in the Western Highlands this exposure shows the lower Jurassic Blue Lias. The limestone-shale alternation of this Lias facies is remarkably similar to the time equivalent sediments of southern Britain. The Morvern Lias is typical of the southern Hebridean area and Allt Leacach is the best section in this area of most northerly Blue Lias deposition. The Hettangian-Lower Sinemurian shales and limestones here can be correlated with the more widespread sandy Lower Broadford Beds.,Jurassic,EW,
28,Pant y slade to Witches Point,CARDIFF AND VALE OF GLAMORGAN,"Hettangian, Sinemurian and Pliensbachian",The Mendip and South Wales massifs,Notified,SS870741,51.45,-3.63,287000,174100,01-Oct-79,22-Oct-82,CCW,One of the most classic British examples of lateral facies changes in ancient sediments. The site shows better than any other the lateral and vertical changes of facies from a marginal (littoral) setting to an offshore environment in rocks of Lower Jurassic age. The fine coastal sections of the site make it possible to see unrivalled examples of the Liassic marginal Sutton Stone and Southern Down Beds and the offshore Blue Lias in relation to the eroded Carboniferous Limestone Island which formed a topographic high here during Liassic times. A key locality for demonstrating the diachronous relationships of facies by means of faunal evidence.,Jurassic,Coastal and River Cliffs,Southerndown Coast
29,Lavernock to St Mary`s Well Bay,CARDIFF AND VALE OF GLAMORGAN,"Hettangian, Sinemurian and Pliensbachian",The Mendip and South Wales massifs,Notified,ST174676,51.40,-3.19,317400,167600,01-Oct-79,16-Apr-84,CCW,"This coastal section is the best available in the Blue Lias of South Wales. This is of importance for its comparisons with the littoral, more marginal rocks of the Lias further west in Glamorgan. Greatly augmenting the importance of this locality is the fact that the Lias is underlain by a key Penarth Beds (Rhaetian) section. This through-sequence from the Keuper to the Lower Sinemurian is unrivalled in any other section in Wales. The type locality for the Penarth Beds.",Jurassic,Foreshore Exposures,Penarth Coast
30,Pen-y-Glog Quarry,CONWY AND DENBIGHSHIRE,Palaeozoic Palaeobotany,Silurian palaeobotany,Notified,SJ108423,52.97,-3.33,310800,342300,01-Oct-79,15-Jul-83,CCW,"An internationally important locality and one of the most significant plant localities in Britain. It yields the oldest known nematophytes assigned to the genus Prototaxites. These non- vascular plants, occurring in Wenlock Series strata, are the earliest known examples of this group, with the exception of a slightly earlier occurrence in the USA (and that is only dispersed tubules, not complete plants). Nematophytes probably represent the earliest known plants showing adaptations to a terrestrial life-style.",Silurian,"Exposures in Disused Quarries, Pits and Cuttings",Penarth Quarry
31,Redcar Rocks,South Teeside,"Hettangian, Sinemurian and Pliensbachian",The Cleveland Basin,Notified,NZ605253,54.62,-1.06,460500,525300,01-Oct-79,13-Aug-82,NE,"The best section in the Lower Lias north of the Market Weighton swell, ie in the Yorkshire Basin. It represents most of the stratigraphic interval missing from the classic Yorkshire coast sections. The section spanning the Hettangian-Sinemurian stages (liasicus- semicostatum zones) is thus of key importance in relation to the vital and much better known Yorkshire sections. This time interval is here represented in a shale-dominated section; this is atypical for a Lower Lias sequence, for over most of Britain Blue Lias facies is seen.",Jurassic,Foreshore Exposures,REDCAR ROCKS
32,Perton Lane Section,"Herefordshire, County of",Palaeozoic Palaeobotany,Silurian palaeobotany,Notified,SO597403,52.06,-2.59,359700,240300,01-Oct-79,28-Aug-86,NE,"The Downtonian Rushton Beds here yield plants, including Cooksonia pertoni Lang and a number of other genera, representing a typical Downtonian flora. This is the type locality for Cooksonia pertoni, the type species of the genus, and is thus of great importance for future work on this primitive land plant.",Devonian,Exposures in Active Quarries and Pits,PERTON ROADSIDE SECTION AND QUARRY
33,Tilton Railway Cutting,Leicestershire CC and Rutland,"Hettangian, Sinemurian and Pliensbachian",The East Midlands Shelf,Notified,SK763053,52.64,-0.87,476300,305300,01-Oct-79,12-Aug-82,NE,"A key geological site of national importance. The section here, showing the Marlstone Rock Bed (Pleinsbachian-Toarcian) and Transition Bed, may be regarded as the standard for this portion of the East Midlands Lias. Outstanding ammonite, brachiopod and gastropod faunas distinguish this succession, and include the zonal ammonite index Tiltoniceras acutum.",Jurassic,"Road, Rail and Canal Cuttings",TILTON CUTTING
34,Capel Horeb Quarry,POWYS,Palaeozoic Palaeobotany,Silurian palaeobotany,Notified,SN844323,51.98,-3.68,284400,232300,01-Oct-79,22-Apr-86,CCW,"The Ludlow-Downtonian Roman Camp Beds and Long Quarry Beds here contain the plant genera Thallomia, Cooksonia and Steganotheca. The Roman Camp Beds have yielded an axis of either Cooksonia- or Steganotheca-bearing in situ tracheids; incontrovertable evidence of the earliest vascular land plants. This occurrence is unique in pre-Devonian strata and it marks Capel Horeb as a palaeobotanical locality of international importance.",Silurian,"Exposures in Disused Quarries, Pits and Cuttings",Halfway Quarry
35,Craig-y-Fro Quarry,POWYS,Palaeozoic Palaeobotany,Devonian palaeobotany,Notified,SN971208,51.88,-3.49,297100,220800,01-Oct-79,30-Mar-83,CCW,"This locality is of great importance for its Seigenian, Senni Beds flora. A number of genera have been described and it is the type locality for Gosslingia breconensis Heard and Krithodeophyton croftii Edwards. The latter being the only representative of the order Bamirophytales recorded from Britain. The petrifactions collected at Craig y fro are essential in any anatomical study of the Senni Beds flora, and are second only to Rhynie in the quality of their preservation.",Devonian,"Exposures in Disused Quarries, Pits and Cuttings",Brecon Beacons
36,Cwm Craig Ddu Quarry,POWYS,Palaeozoic Palaeobotany,Silurian palaeobotany,Notified,SN962474,52.11,-3.52,296200,247400,01-Oct-79,06-Apr-83,CCW,"The Pterinea Beds of this locality, of Ludlow Series age, yield the earliest known specimens of Cooksonia. Cooksonia is widely regarded as the oldest and most primitive vascular land plant. This locality is thus of international importance for its palaeobotanical interest.",Silurian,"Exposures in Disused Quarries, Pits and Cuttings",Cwm Craig-ddu Quarry
37,Dunrobin Coast Section,Caithness and Sutherland and Ross and Cromarty,"Hettangian, Sinemurian and Pliensbachian",The Moray Firth Basin,Notified,NC854007,57.98,-3.94,285400,900700,01-Oct-79,06-Oct-82,SNH,The only onshore section in the Lower Jurassic rocks of the Moray Firth Basin. Besides its interest for correlation with offshore sequences this section is unique in exhibiting a freshwater-marginal marine sedimentary succession of this age in Britain. Higher Middle Lias of the section correlate directly with the Pabba Shales of the Inner Hebrides. An important site for basinal and palaeogeographic reconstructions of Britain in the Jurassic.,Jurassic,EC,DUNROBIN COAST
38,Llanover Quarry,MONMOUTHSHIRE AND NEWPORT,Palaeozoic Palaeobotany,Devonian palaeobotany,Notified,SO297079,51.76,-3.02,329700,207900,01-Oct-79,19-Oct-82,CCW,"An important locality for its Senni Beds flora, of presumed Seigenian age. Representatives of some eleven genera are present; a far richer assemblage than other coeval British occurences and comparable to German and Belgian floras found in Seigenian marine strata.",Devonian,"Exposures in Disused Quarries, Pits and Cuttings",Llanover Quarry
39,Boreraig to Carn Dearg,"Lochaber, Skye and Lochalsh and Argyll and the Islands","Hettangian, Sinemurian and Pliensbachian",The Hebrides Basin,Notified,NG599155,57.17,-5.97,159900,815500,01-Oct-79,04-Apr-83,SNH,"A virtually complete Lower Lias section (Hettangian-Sinemurian stages) occurs at Loch Eishort; this site includes the more important upper part of the sequence, in the Upper Broadford Beds and the Pabba Shales in their typical northern Hebridean development. Unaffected by Tertiary baking the sequence is well-preserved and well- documented, and of importance in studies of palaeogeography and facies development. It is remarkable in exhibiting the thickest sedimentary development in Britain of certain portions of the Lower Lias (semicostatum and raricostatum zones) and in showing the only known Scottish occurrence of the basal Upper Sinemurian (obtusum Zone).",Jurassic,"EC,EO",BOIREARAIG-CARN DEARG
